"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_TITLE";"Advanced Experience - Admin Moderation"
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_DESCRIPTION";"This email is sent to admin when a new experience entry need to be approved."
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_SUBJECT";"There is a new experience need to be approved"
"_EMAIL_NOTIFY_ADMIN_EXPERIENCE_MODERATION_BODY";"[header]

[sender_title] has just posted a new experience: [object_title] which need your approval.
Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_EXPERIENCE_subscribed_new
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_TITLE";"Advanced Experience - Subscription"
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_DESCRIPTION";"This email is sent to someone when a experience entry is posted by a member to whom they have subscribed."
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_SUBJECT";"[sender_title] posted a new experience entry: [object_title]"
"_EMAIL_NOTIFY_EXPERIENCE_SUBSCRIBED_NEW_BODY";"[header]

[sender_title] has posted a new experience entry: [object_title].
Please click the following link to view it:

http://[host][object_link]

[footer]"

"{item:$subject} has posted a new experience entry: {item:$object}.";"{item:$subject} has posted a new experience entry: {item:$object}."

" experience";" experience";" experiences"
"EXPERIENCE";"Experience";"Experiences"
"Yes, allow automatically import experience.";"Yes, allow automatically import experience."
"No, do not allow automatically import experience.";"No, do not allow automatically import experience."
"Import Experience";"Import Experience"
"Export Experiences";"Export Experiences"
"Description";"Description"
"Export to Wordpress";"Export to Wordpress"
"Export to Tumblr";"Export to Tumblr"
"Export to Experienceger";"Export to Experienceger"
"Uncheck All";"Uncheck All"
"Please choose the experiences to export!";"Please choose the experiences to export!"
"%s's Experiences";"%s's Experiences"
"Just another WordPress.com site";"Just another WordPress.com site"
